activity_0,activity_1,activity_count_0,activity_count_1,adjacency_rate,blocked_partner0,blocked_partner1,blocked_partner_total,blocked_wall0,blocked_wall1,blocked_wall_total,collisions,condition,contribution_ratio_0,contribution_ratio_1,efficiency_0,efficiency_1,event_trigger,exp0_count,exp0_rate,exp1_count,exp1_rate,exp_any_count,exp_any_rate,goal_change_only,handoff_total,horizon,idle_rate0,idle_rate1,idle_rate_avg,interactivity_0,interactivity_1,interactivity_count_0,interactivity_count_1,layout,mean_delivery_interval,mode,objs_after_avg,objs_before_avg,plate_pickup_total,plate_pickup_while_cooking_count,plate_pickup_while_cooking_rate,pot_cooking_rate,pot_empty_rate,pot_ready_wait_rate,productive_actions_0,productive_actions_1,productive_actions_total,seed,soups_delivered,time_to_first_delivery,timesteps,total_game_reward,total_shaped_reward
0.4575,0.27375,366,219,0.525,2,1,3,55,43,98,1,exp,0.7821229050279329,0.21787709497206703,830.6010928961748,1388.1278538812785,True,0,0.0,182,0.2275,182,0.2275,True,0,800,0.545,0.7275,0.63625,0.175,0.0725,140,58,cramped_room,40,both,0.8525,0.85125,20,0,0.0,0.47,0.14875,0.07625,140,39,179,20,19,46,800,380.0,308.0
0.4525,0.27,362,216,0.58625,1,0,1,62,41,103,0,exp,0.7821229050279329,0.21787709497206703,839.7790055248619,1407.4074074074074,True,0,0.0,183,0.22875,183,0.22875,True,0,800,0.54875,0.73,0.639375,0.175,0.0725,140,58,cramped_room,40.27777777777778,both,0.855,0.85375,20,0,0.0,0.47125,0.14625,0.07625,140,39,179,21,19,43,800,380.0,311.0
0.44625,0.27,357,216,0.57125,0,0,0,66,41,107,0,exp,0.7821229050279329,0.21787709497206703,851.5406162464986,1407.4074074074074,True,0,0.0,184,0.23,184,0.23,True,0,800,0.55375,0.73,0.641875,0.175,0.0725,140,58,cramped_room,40.05555555555556,both,0.84875,0.8475,20,0,0.0,0.47375,0.1525,0.07625,140,39,179,22,19,44,800,380.0,311.0
0.44125,0.27625,353,221,0.61875,0,0,0,62,39,101,0,exp,0.7833333333333333,0.21666666666666667,861.1898016997168,1375.5656108597286,True,0,0.0,188,0.235,188,0.235,True,0,800,0.55875,0.72375,0.64125,0.17625,0.07375,141,59,cramped_room,39.94444444444444,both,0.85,0.85,20,0,0.0,0.475,0.15,0.07625,141,39,180,23,19,44,800,380.0,319.0
0.46125,0.2675,369,214,0.61125,1,0,1,59,39,98,0,exp,0.7821229050279329,0.21787709497206703,823.8482384823849,1420.5607476635514,True,0,0.0,180,0.225,180,0.225,True,0,800,0.54,0.7325,0.63625,0.175,0.0725,140,58,cramped_room,40.666666666666664,both,0.86375,0.8625,20,0,0.0,0.4675,0.1375,0.0725,140,39,179,24,19,43,800,380.0,311.0
0.45,0.2825,360,226,0.615,1,1,2,62,41,103,1,exp,0.7747252747252747,0.22527472527472528,888.8888888888889,1415.9292035398232,True,0,0.0,188,0.235,188,0.235,True,0,800,0.55125,0.71875,0.635,0.17625,0.07625,141,61,cramped_room,39.578947368421055,both,0.8525,0.8525,21,0,0.0,0.475,0.1475,0.07625,141,41,182,25,20,43,800,400.0,322.0
0.44125,0.27125,353,217,0.62125,1,0,1,65,39,104,0,exp,0.7821229050279329,0.21787709497206703,861.1898016997168,1400.921658986175,True,0,0.0,184,0.23,184,0.23,True,0,800,0.56,0.72875,0.644375,0.175,0.07375,140,59,cramped_room,39.833333333333336,both,0.86,0.86,20,0,0.0,0.475,0.14,0.0775,140,39,179,26,19,43,800,380.0,319.0
0.44625,0.27375,357,219,0.53375,2,2,4,56,42,98,2,exp,0.7821229050279329,0.21787709497206703,851.5406162464986,1388.1278538812785,True,0,0.0,185,0.23125,185,0.23125,True,0,800,0.55625,0.72875,0.6425000000000001,0.175,0.0725,140,58,cramped_room,40.166666666666664,both,0.86125,0.86,20,0,0.0,0.47375,0.14,0.07625,140,39,179,27,19,44,800,380.0,317.0
0.4575,0.27375,366,219,0.5675,2,1,3,63,41,104,1,exp,0.7821229050279329,0.21787709497206703,830.6010928961748,1388.1278538812785,True,0,0.0,183,0.22875,183,0.22875,True,0,800,0.545,0.7275,0.63625,0.175,0.0725,140,58,cramped_room,40.27777777777778,both,0.86375,0.8625,20,0,0.0,0.46875,0.1375,0.07625,140,39,179,28,19,45,800,380.0,314.0
0.45125,0.27125,361,217,0.60375,0,0,0,58,40,98,0,exp,0.7821229050279329,0.21787709497206703,842.1052631578948,1400.921658986175,True,0,0.0,182,0.2275,182,0.2275,True,0,800,0.54875,0.72875,0.6387499999999999,0.175,0.0725,140,58,cramped_room,40.388888888888886,both,0.865,0.86375,20,0,0.0,0.4725,0.13625,0.075,140,39,179,29,19,43,800,380.0,314.0
0.45625,0.27125,365,217,0.63375,3,1,4,57,39,96,1,exp,0.7821229050279329,0.21787709497206703,832.8767123287671,1400.921658986175,True,0,0.0,184,0.23,184,0.23,True,0,800,0.5475,0.73,0.6387499999999999,0.175,0.0725,140,58,cramped_room,40.111111111111114,both,0.8575,0.85625,20,0,0.0,0.475,0.14375,0.07125,140,39,179,2,19,46,800,380.0,317.0
0.46,0.27625,368,221,0.5225,2,1,3,59,43,102,1,exp,0.7821229050279329,0.21787709497206703,826.0869565217391,1375.5656108597286,True,0,0.0,184,0.23,184,0.23,True,0,800,0.5425,0.725,0.63375,0.175,0.0725,140,58,cramped_room,40.666666666666664,both,0.8525,0.85125,20,0,0.0,0.4625,0.14875,0.0775,140,39,179,3,19,43,800,380.0,311.0
0.45125,0.27625,361,221,0.56875,1,1,2,61,41,102,1,exp,0.7796610169491526,0.22033898305084745,842.1052631578948,1375.5656108597286,True,0,0.0,184,0.23,184,0.23,True,0,800,0.55,0.725,0.6375,0.1725,0.0725,138,58,cramped_room,41.44444444444444,both,0.8375,0.83625,20,0,0.0,0.45125,0.16375,0.07875,138,39,177,4,19,46,800,380.0,305.0
0.44875,0.2725,359,218,0.52125,0,0,0,64,43,107,0,exp,0.7821229050279329,0.21787709497206703,846.7966573816157,1394.4954128440365,True,0,0.0,183,0.22875,183,0.22875,True,0,800,0.55125,0.7275,0.639375,0.175,0.0725,140,58,cramped_room,40.44444444444444,both,0.85,0.84875,20,0,0.0,0.465,0.15125,0.07875,140,39,179,5,19,42,800,380.0,311.0
0.46375,0.27,371,216,0.5925,1,1,2,60,40,100,1,exp,0.7784090909090909,0.2215909090909091,819.4070080862534,1407.4074074074074,True,0,0.0,183,0.22875,183,0.22875,True,0,800,0.5375,0.73125,0.6343749999999999,0.17125,0.0725,137,58,cramped_room,41.611111111111114,both,0.85375,0.8525,20,0,0.0,0.45125,0.1475,0.07375,137,39,176,6,19,43,800,380.0,311.0
0.44375,0.285,355,228,0.5725,1,1,2,64,43,107,1,exp,0.7819148936170213,0.21808510638297873,901.4084507042254,1403.5087719298247,True,0,0.0,190,0.2375,190,0.2375,True,0,800,0.5575,0.71625,0.6368750000000001,0.18375,0.07625,147,61,cramped_room,38.63157894736842,both,0.88,0.87875,21,0,0.0,0.48,0.12125,0.0775,147,41,188,7,20,46,800,400.0,343.0
